"Open","High","Low","Close","Volume","Adjusted","dates","ticker"
127.980003,129.389999,127.779999,128.529999,33710400,125.059654,"2017-02-02","AAPL"
128.309998,129.190002,128.160004,129.080002,24507300,125.594803,"2017-02-03","AAPL"
129.130005,130.5,128.899994,130.289993,26845900,126.772125,"2017-02-06","AAPL"
130.539993,132.089996,130.449997,131.529999,38183800,127.97863,"2017-02-07","AAPL"
131.350006,132.220001,131.220001,132.039993,23004100,128.474869,"2017-02-08","AAPL"
131.649994,132.449997,131.119995,132.419998,28349900,129.403229,"2017-02-09","AAPL"
132.460007,132.940002,132.050003,132.119995,20065500,129.110077,"2017-02-10","AAPL"
133.080002,133.820007,132.75,133.289993,23035400,130.253418,"2017-02-13","AAPL"
133.470001,135.089996,133.25,135.020004,33226200,131.944016,"2017-02-14","AAPL"
135.520004,136.270004,134.619995,135.509995,35623100,132.422836,"2017-02-15","AAPL"
135.669998,135.899994,134.839996,135.350006,22584600,132.266495,"2017-02-16","AAPL"
135.100006,135.830002,135.100006,135.720001,22198200,132.628067,"2017-02-17","AAPL"
136.229996,136.75,135.979996,136.699997,24507200,133.585724,"2017-02-21","AAPL"
136.429993,137.119995,136.110001,137.110001,20836900,133.986389,"2017-02-22","AAPL"
137.380005,137.479996,136.300003,136.529999,20788200,133.419601,"2017-02-23","AAPL"
135.910004,136.660004,135.279999,136.660004,21776600,133.546661,"2017-02-24","AAPL"
137.139999,137.440002,136.279999,136.929993,20257400,133.810471,"2017-02-27","AAPL"
137.080002,137.440002,136.699997,136.990005,23482900,133.86911,"2017-02-28","AAPL"
137.889999,140.149994,137.600006,139.789993,36414600,136.605331,"2017-03-01","AAPL"
140,140.279999,138.759995,138.960007,26211000,135.79425,"2017-03-02","AAPL"
138.779999,139.830002,138.589996,139.779999,21108100,136.595566,"2017-03-03","AAPL"
139.369995,139.770004,138.600006,139.339996,21750000,136.165573,"2017-03-06","AAPL"
139.059998,139.979996,138.789993,139.520004,17446300,136.341476,"2017-03-07","AAPL"
138.949997,139.800003,138.820007,139,18707200,135.833344,"2017-03-08","AAPL"
138.740005,138.789993,137.050003,138.679993,22155900,135.520599,"2017-03-09","AAPL"
139.25,139.360001,138.639999,139.139999,19612800,135.970139,"2017-03-10","AAPL"
138.850006,139.429993,138.820007,139.199997,17421700,136.028748,"2017-03-13","AAPL"
139.300003,139.649994,138.839996,138.990005,15309100,135.823547,"2017-03-14","AAPL"
139.410004,140.75,139.029999,140.460007,25691800,137.260071,"2017-03-15","AAPL"
140.720001,141.020004,140.259995,140.690002,19232000,137.484818,"2017-03-16","AAPL"
141,141,139.889999,139.990005,43885000,136.800797,"2017-03-17","AAPL"
140.399994,141.5,140.229996,141.460007,21542000,138.237305,"2017-03-20","AAPL"
142.110001,142.800003,139.729996,139.839996,39529900,136.65419,"2017-03-21","AAPL"
139.850006,141.600006,139.759995,141.419998,25860200,138.198212,"2017-03-22","AAPL"
141.259995,141.580002,140.610001,140.919998,20346300,137.709579,"2017-03-23","AAPL"
141.5,141.740005,140.350006,140.639999,22395600,137.435974,"2017-03-24","AAPL"
139.389999,141.220001,138.619995,140.880005,23575100,137.670532,"2017-03-27","AAPL"
140.910004,144.039993,140.619995,143.800003,33374800,140.523987,"2017-03-28","AAPL"
143.679993,144.490005,143.190002,144.119995,29190000,140.8367,"2017-03-29","AAPL"
144.190002,144.5,143.5,143.929993,21207300,140.651016,"2017-03-30","AAPL"
143.720001,144.270004,143.009995,143.660004,19661700,140.387177,"2017-03-31","AAPL"
143.710007,144.119995,143.050003,143.699997,19985700,140.426254,"2017-04-03","AAPL"
143.25,144.889999,143.169998,144.770004,19891400,141.471878,"2017-04-04","AAPL"
144.220001,145.460007,143.809998,144.020004,27717900,140.738983,"2017-04-05","AAPL"
