"comp_id","Sector","Industry"
"comp_1544","Consumer Defensive","Food Distribution"
"comp_3421","Healthcare","Biotechnology"
"comp_7509","Healthcare","Medical Instruments & Supplies"
"comp_1516","Industrials","Airlines"
"comp_7419","Energy","Oil & Gas E&P"
"comp_4564","Financial Services","Banks - Regional - Europe"
"comp_5901","Real Estate","REIT - Diversified"
"comp_822","Industrials","Pollution & Treatment Controls"
"comp_4092","Healthcare","Biotechnology"
"comp_10508","Industrials","Airlines"
"comp_4064","Financial Services","Asset Management"
"comp_5001","Consumer Cyclical","Department Stores"
"comp_11300","Technology","Software - Infrastructure"
"comp_4906","Real Estate","REIT - Diversified"
"comp_1733","Technology","Software - Infrastructure"
"comp_5500","Technology","Software - Application"
"comp_5921","Financial Services","Banks - Regional - US"
"comp_4160","Financial Services","Asset Management"
"comp_38","Financial Services","Banks - Regional - Asia"
"comp_8842","Basic Materials","Industrial Metals & Minerals"
"comp_10413","Financial Services","Asset Management"
"comp_12717","Financial Services","Asset Management"
"comp_12715","Industrials","Aerospace & Defense"
"comp_2382","Basic Materials","Coal"
"comp_6070","Financial Services","Banks - Regional - US"
"comp_4275","Communication Services","Telecom Services"
"comp_8496","Basic Materials","Specialty Chemicals"
"comp_10800","Healthcare","Biotechnology"
"comp_1602","Consumer Cyclical","Gambling"
"comp_7212","Healthcare","Biotechnology"
"comp_2964","Communication Services","Telecom Services"
"comp_11038","Basic Materials","Copper"
"comp_3593","Consumer Cyclical","Packaging & Containers"
"comp_7111","Technology","Software - Application"
"comp_6093","Healthcare","Drug Manufacturers - Specialty & Generic"
"comp_5362","Consumer Cyclical","Lodging"
"comp_10458","Healthcare","Drug Manufacturers - Specialty & Generic"
"comp_3406","Consumer Cyclical","Marketing Services"
"comp_12332","Consumer Cyclical","Marketing Services"
"comp_10030","Energy","Oil & Gas E&P"
"comp_4818","Basic Materials","Industrial Metals & Minerals"
"comp_11488","Communication Services","Pay TV"
"comp_8615","Real Estate","REIT - Industrial"
"comp_8418","Real Estate","REIT - Industrial"
"comp_8349","Financial Services","Financial Exchanges"
"comp_4848","Energy","Oil & Gas E&P"
"comp_11521","Technology","Software - Application"
"comp_10481","Basic Materials","Specialty Chemicals"
"comp_1880","Technology","Software - Application"
"comp_2056","Industrials","Rental & Leasing Services"
"comp_6281","Consumer Cyclical","Resorts & Casinos"
"comp_5828","Utilities","Utilities - Diversified"
"comp_3061","Financial Services","Banks - Regional - US"
"comp_5545","Financial Services","Banks - Regional - US"
"comp_4414","Financial","Asset Management"
"comp_13614","Healthcare","Drug Manufacturers - Specialty & Generic"
"comp_11820","Technology","Semiconductor Equipment & Materials"
"comp_12240","Consumer Cyclical","Apparel Stores"
"comp_7091","Financial Services","Banks - Regional - US"
"comp_6170","Financial Services","Asset Management"
"comp_9587","Technology","Software - Application"
"comp_4046","Consumer Defensive","Packaged Foods"
"comp_8941","Technology","Electronic Components"
"comp_13455","Consumer Cyclical","Leisure"
"comp_11014","Technology","Software - Infrastructure"
"comp_10662","Basic Materials","Paper & Paper Products"
"comp_788","Energy","Oil & Gas Integrated"
"comp_2030","Healthcare","Medical Devices"
"comp_1938","Financial Services","Capital Markets"
"comp_3622","Financial Services","Capital Markets"
"comp_2448","Real Estate","REIT - Diversified"
"comp_4988","Technology","Software - Application"
"comp_11321","Financial Services","Banks - Global"
"comp_6324","Industrials","Business Services"
"comp_3234","Consumer Defensive","Household & Personal Products"
"comp_9998","Consumer Defensive","Packaged Foods"
"comp_1235","Healthcare","Medical Devices"
"comp_6343","Healthcare","Biotechnology"
"comp_1234","Basic Materials","Biotechnology"
"comp_11263","Basic Materials","Gold"
"comp_13620","Basic Materials","Industrial Metals & Minerals"
"comp_6960","Consumer Defensive","Packaged Foods"
"comp_3187","Financial Services","Asset Management"
"comp_3682","Technology","Software - Application"
"comp_3123","Healthcare","Biotechnology"
"comp_10344","Financial Services","Insurance - Property & Casualty"
"comp_8152","Healthcare","Medical Devices"
"comp_3316","Real Estate","Real Estate - General"
"comp_2170","Technology","Information Technology Services"
"comp_4817","Communication Services","Telecom Services"
"comp_331","Industrials","Rental & Leasing Services"
"comp_9034","Technology","Semiconductors"
"comp_8542","Consumer Cyclical","Recreational Vehicles"
"comp_2534","Industrials","Aerospace & Defense"
"comp_1092","Industrials","Railroads"
"comp_13240","Consumer Cyclical","Auto Parts"
"comp_12684","Energy","Oil & Gas Equipment & Services"
"comp_12665","Consumer Cyclical","Advertising Agencies"
"comp_10436","Healthcare","Biotechnology"
"comp_9592","Technology","Data Storage"
"comp_7070","Consumer Defensive","Confectioners"
"comp_6943","Basic Materials","Copper"
"comp_12688","Technology","Software - Infrastructure"
"comp_12048","Technology","Communication Equipment"
"comp_11520","Industrials","Industrial Distribution"
"comp_10824","Technology","Software - Application"
"comp_12346","Financial Services","Asset Management"
"comp_4368","Consumer Defensive","Food Distribution"
"comp_4434","Financial Services","Banks - Regional - US"
"comp_8567","Consumer Cyclical","Media - Diversified"
"comp_11136","Financial Services","Banks - Regional - US"
"comp_5700","Financial Services","Insurance Brokers"
"comp_12164","Financial Services","Asset Management"
"comp_12218","Consumer Cyclical","Leisure"
"comp_4697","Industrials","Diversified Industrials"
