"sec_id","comp_id"
"sec_11344","comp_7719"
"sec_11345","comp_7719"
"sec_875","comp_755"
"sec_17266","comp_755"
"sec_13847","comp_9418"
"sec_2494","comp_1889"
"sec_19303","comp_12923"
"sec_20566","comp_13557"
"sec_13310","comp_9081"
"sec_17171","comp_9081"
"sec_3718","comp_2646"
"sec_7989","comp_5431"
"sec_4556","comp_3156"
"sec_4555","comp_3156"
"sec_4554","comp_3156"
"sec_2088","comp_1625"
"sec_2087","comp_1625"
"sec_19607","comp_13090"
"sec_6442","comp_4348"
"sec_6784","comp_4348"
"sec_20253","comp_13411"
"sec_20254","comp_13411"
"sec_9245","comp_6298"
"sec_7846","comp_2727"
"sec_3869","comp_2727"
"sec_4182","comp_2727"
"sec_1435","comp_1208"
"sec_12466","comp_8481"
"sec_10075","comp_6858"
"sec_2501","comp_1895"
"sec_8253","comp_5626"
"sec_9928","comp_5626"
"sec_12774","comp_8577"
"sec_12588","comp_8577"
"sec_18923","comp_12666"
"sec_18924","comp_12666"
"sec_9837","comp_6694"
"sec_5050","comp_3479"
"sec_5051","comp_3479"
"sec_6698","comp_4531"
"sec_6697","comp_4531"
"sec_6785","comp_4591"
"sec_17655","comp_11856"
"sec_2780","comp_2093"
"sec_15030","comp_10181"
"sec_8083","comp_5501"
"sec_8084","comp_5501"
"sec_1933","comp_1544"
"sec_4956","comp_3421"
"sec_10997","comp_7509"
"sec_1899","comp_1516"
"sec_10888","comp_7419"
"sec_6738","comp_4564"
"sec_8656","comp_5901"
"sec_945","comp_822"
"sec_6107","comp_4092"
"sec_15555","comp_10508"
"sec_15549","comp_10508"
"sec_15554","comp_10508"
"sec_15752","comp_10508"
"sec_15323","comp_4064"
"sec_6076","comp_4064"
"sec_7405","comp_5001"
"sec_7346","comp_5001"
"sec_16809","comp_11300"
"sec_15406","comp_4906"
"sec_7212","comp_4906"
"sec_2276","comp_1733"
"sec_8081","comp_5500"
"sec_8685","comp_5921"
"sec_7007","comp_4160"
"sec_6192","comp_4160"
"sec_6193","comp_4160"
"sec_5413","comp_38"
"sec_5116","comp_38"
"sec_5117","comp_38"
"sec_42","comp_38"
"sec_17177","comp_8842"
"sec_12946","comp_8842"
"sec_16108","comp_10413"
"sec_15388","comp_10413"
"sec_19002","comp_12717"
"sec_19015","comp_12715"
"sec_19000","comp_12715"
"sec_18998","comp_12715"
"sec_19014","comp_12715"
"sec_3281","comp_2382"
"sec_8878","comp_6070"
"sec_6347","comp_4275"
"sec_12483","comp_8496"
"sec_16030","comp_10800"
"sec_2032","comp_1602"
"sec_2229","comp_1602"
"sec_10609","comp_7212"
"sec_4263","comp_2964"
"sec_12511","comp_2964"
"sec_16819","comp_11038"
"sec_16425","comp_11038"
"sec_5233","comp_3593"
"sec_10452","comp_7111"
"sec_8905","comp_6093"
"sec_7898","comp_5362"
"sec_15456","comp_10458"
"sec_4936","comp_3406"
"sec_18406","comp_12332"
"sec_14823","comp_10030"
"sec_14819","comp_10030"
"sec_18358","comp_4818"
"sec_7079","comp_4818"
"sec_11072","comp_4818"
"sec_17092","comp_11488"
"sec_12639","comp_8615"
"sec_12382","comp_8418"
"sec_16356","comp_8418"
"sec_12269","comp_8349"
"sec_7125","comp_4848"
"sec_17152","comp_11521"
"sec_15504","comp_10481"
"sec_2483","comp_1880"
"sec_2721","comp_2056"
"sec_9218","comp_6281"
"sec_9493","comp_6281"
"sec_8564","comp_5828"
"sec_4396","comp_3061"
"sec_8148","comp_5545"
"sec_6532","comp_4414"
"sec_14633","comp_4414"
"sec_20690","comp_13614"
"sec_17602","comp_11820"
"sec_18263","comp_12240"
"sec_10423","comp_7091"
"sec_9041","comp_6170"
"sec_14136","comp_9587"
"sec_6058","comp_4046"
"sec_13073","comp_8941"
"sec_20402","comp_13455"
"sec_20346","comp_13455"
"sec_20347","comp_13455"
"sec_16373","comp_11014"
"sec_15816","comp_10662"
"sec_16076","comp_10662"
"sec_3082","comp_788"
"sec_910","comp_788"
"sec_2687","comp_2030"
"sec_2558","comp_1938"
"sec_5275","comp_3622"
"sec_3379","comp_2448"
"sec_7329","comp_4988"
"sec_7330","comp_4988"
"sec_7738","comp_4988"
"sec_7739","comp_4988"
"sec_16840","comp_11321"
"sec_9289","comp_6324"
"sec_4689","comp_3234"
"sec_14770","comp_9998"
"sec_15283","comp_9998"
"sec_1479","comp_1235"
"sec_1510","comp_1235"
"sec_1513","comp_1235"
"sec_1516","comp_1235"
"sec_1511","comp_1235"
"sec_1480","comp_1235"
"sec_9313","comp_6343"
"sec_9619","comp_6343"
"sec_7016","comp_1234"
"sec_16777","comp_1234"
"sec_15547","comp_1234"
"sec_6746","comp_1234"
"sec_1609","comp_1234"
"sec_1478","comp_1234"
"sec_4149","comp_1234"
"sec_12643","comp_1234"
"sec_16763","comp_11263"
"sec_17168","comp_11263"
"sec_20702","comp_13620"
"sec_10223","comp_6960"
"sec_4869","comp_3187"
"sec_5202","comp_3187"
"sec_5862","comp_3187"
"sec_5425","comp_3187"
"sec_4614","comp_3187"
"sec_4944","comp_3187"
"sec_4639","comp_3187"
"sec_5060","comp_3187"
"sec_4831","comp_3187"
"sec_5306","comp_3187"
"sec_6543","comp_3187"
"sec_6017","comp_3187"
"sec_8043","comp_3187"
"sec_5797","comp_3682"
"sec_5375","comp_3682"
"sec_19175","comp_3123"
"sec_19374","comp_3123"
"sec_4493","comp_3123"
"sec_15273","comp_10344"
"sec_15317","comp_10344"
"sec_11990","comp_8152"
"sec_4796","comp_3316"
"sec_2911","comp_2170"
"sec_7104","comp_4817"
"sec_7078","comp_4817"
"sec_3597","comp_331"
"sec_388","comp_331"
"sec_3596","comp_331"
"sec_2171","comp_331"
"sec_13232","comp_9034"
"sec_12547","comp_8542"
"sec_3917","comp_2534"
"sec_3916","comp_2534"
"sec_12339","comp_2534"
